node_A_num	node_B_num	combined_score
1151	776	0.205
130	33	0.344
446	411	0.184
446	904	0.809
511	792	0.263
551	431	0.42
955	380	0.281
955	408	0.88
1000	169	0.241
1000	1151	0.279
1095	735	0.197
4	143	0.159
29	222	0.275
208	1107	0.189
495	807	0.197
857	936	0.209
1128	19	0.353
384	945	0.158
1075	1134	0.278
84	338	0.183
132	265	0.252
862	558	0.687
1058	887	0.772
219	535	0.422
635	187	0.258
721	776	0.206
846	1113	0.999
914	736	0.265
1037	758	0.209
1172	167	0.472
76	605	0.282
262	1168	0.211
344	345	0.631
813	508	0.193
888	42	0.242
228	369	0.217
397	355	0.3
489	455	0.157
793	286	0.162
842	824	0.265
842	125	0.378
1164	916	0.234
144	994	0.164
634	844	0.32
989	446	0.2
989	893	0.183
1129	489	0.423
1137	58	0.261
151	956	0.267
954	600	0.485
1084	930	0.261
32	746	0.355
483	602	0.222
591	646	0.154
689	1129	0.173
1085	145	0.998
55	282	0.308
101	951	0.198
185	4	0.571
221	953	0.15
298	220	0.486
412	381	0.228
639	1029	0.817
792	915	0.999
938	981	0.214
265	1169	0.645
265	439	0.234
458	251	0.305
546	1124	0.918
547	555	0.281
614	947	0.814
1167	431	0.176
19	351	0.168
338	924	0.977
338	226	0.278
653	844	0.742
1101	1123	0.998
40	283	0.502
169	221	0.152
194	705	0.18
194	233	0.224
403	775	0.349
413	39	0.265
536	863	0.828
585	848	0.644
987	795	0.225
1108	900	0.336
250	628	0.199
250	999	0.998
313	524	0.25
578	1001	0.252
643	269	0.188
643	396	0.253
890	345	0.205
927	165	0.178
1021	1130	0.208
1021	578	0.317
86	809	0.639
86	32	0.164
86	517	0.915
342	220	0.17
359	587	0.202
539	1131	0.97
867	25	0.197
895	1011	0.178
735	583	0.173
919	412	0.184
1043	132	0.152
1043	239	0.529
1135	127	0.186
1152	269	0.273
1152	396	0.321
407	882	0.214
472	707	0.27
507	362	0.913
764	405	0.236
796	431	0.182
908	440	0.182
1159	730	0.252
1159	1085	0.165
36	956	0.166
115	42	0.193
401	1175	0.214
809	422	0.631
809	241	0.186
27	598	0.179
519	422	0.81
597	954	0.178
641	793	0.999
641	613	0.16
786	91	0.692
786	917	0.941
944	929	0.226
207	973	0.198
404	198	0.432
408	928	0.181
460	770	0.208
6	706	0.708
598	1044	0.296
785	862	0.688
915	282	0.376
61	767	0.291
79	1106	0.19
196	358	0.189
526	775	0.235
746	808	0.203
910	798	0.167
45	49	0.211
120	1069	0.519
803	363	0.328
934	541	0.385
953	97	0.275
191	295	0.262
238	924	0.224
428	381	0.78
810	844	0.186
824	1084	0.195
864	1117	0.294
928	595	0.507
962	514	0.256
1074	846	0.186
1113	549	0.806
281	1134	0.17
299	145	0.974
553	156	0.604
610	292	0.2
610	961	0.369
626	1009	0.336
826	36	0.2
859	1137	0.218
1005	443	0.179
1140	630	0.247
543	374	0.164
876	283	0.159
931	814	0.161
931	578	0.253
972	813	0.345
1066	763	0.493
167	374	0.152
537	582	0.631
661	375	0.995
811	0	0.188
912	1135	0.405
912	255	0.47
1046	868	0.33
103	1172	0.186
103	1054	0.194
264	585	0.262
264	819	0.217
269	131	0.15
277	100	0.159
282	403	0.353
423	1117	0.181
423	129	0.208
451	73	0.42
603	1143	0.66
211	1106	0.332
211	1127	0.332
758	721	0.531
758	644	0.258
201	859	0.426
290	519	0.383
418	114	0.243
433	1060	0.25
558	825	0.161
570	454	0.263
1151	359	0.16
130	775	0.272
446	861	0.853
770	618	0.271
1095	1046	0.158
88	165	0.186
156	393	0.294
389	676	0.195
1128	1011	0.219
166	230	0.504
303	490	0.203
644	252	0.559
717	737	0.353
161	36	0.387
172	193	0.434
246	988	0.197
477	684	0.298
670	630	0.226
686	857	0.298
1058	112	0.19
491	82	0.207
504	392	0.151
886	893	0.564
1142	514	0.155
76	37	0.16
87	944	0.181
96	118	0.316
99	546	0.219
99	633	0.322
262	302	0.166
344	396	0.171
348	824	0.226
813	240	0.35
888	270	0.257
854	1125	0.171
212	1020	0.388
379	580	0.198
144	426	0.369
560	641	0.196
634	296	0.168
634	706	0.167
649	717	0.172
748	641	0.211
783	865	0.54
822	232	0.177
1106	431	0.242
1129	314	0.15
14	898	0.649
170	772	0.223
665	141	0.186
836	303	0.169
1084	670	0.461
91	884	0.731
91	600	0.281
341	856	0.252
399	187	0.898
591	50	0.394
594	646	0.562
625	508	0.277
689	683	0.202
1118	158	0.202
527	1	0.366
619	783	0.291
678	600	0.673
792	845	0.998
825	200	0.219
1042	783	0.199
