sample_id	population_description
HG00717	"Southern Han Chinese, China"
HG00718	"Southern Han Chinese, China"
HG00728	"Southern Han Chinese, China"
HG00729	"Southern Han Chinese, China"
HG00730	"Southern Han Chinese, China"
HG00731	Puerto Rican in Puerto Rico
HG00732	Puerto Rican in Puerto Rico
HG00733	Puerto Rican in Puerto Rico
HG00734	Puerto Rican in Puerto Rico
HG00735	Puerto Rican in Puerto Rico
HG00736	Puerto Rican in Puerto Rico
HG00737	Puerto Rican in Puerto Rico
HG00738	Puerto Rican in Puerto Rico
HG00739	Puerto Rican in Puerto Rico
HG00740	Puerto Rican in Puerto Rico
HG00741	Puerto Rican in Puerto Rico
HG00742	Puerto Rican in Puerto Rico
HG00743	Puerto Rican in Puerto Rico
HG00759	"Chinese Dai in Xishuangbanna, China"
HG00766	"Chinese Dai in Xishuangbanna, China"
HG00844	"Chinese Dai in Xishuangbanna, China"
HG00851	"Chinese Dai in Xishuangbanna, China"
HG00864	"Chinese Dai in Xishuangbanna, China"
HG00866	"Chinese Dai in Xishuangbanna, China"
HG00867	"Chinese Dai in Xishuangbanna, China"
HG00879	"Chinese Dai in Xishuangbanna, China"
HG00881	"Chinese Dai in Xishuangbanna, China"
HG00956	"Chinese Dai in Xishuangbanna, China"
HG00978	"Chinese Dai in Xishuangbanna, China"
HG00982	"Chinese Dai in Xishuangbanna, China"
HG00983	"Chinese Dai in Xishuangbanna, China"
HG01028	"Chinese Dai in Xishuangbanna, China"
HG01029	"Chinese Dai in Xishuangbanna, China"
HG01031	"Chinese Dai in Xishuangbanna, China"
HG01046	"Chinese Dai in Xishuangbanna, China"
HG01047	Puerto Rican in Puerto Rico
HG01048	Puerto Rican in Puerto Rico
HG01049	Puerto Rican in Puerto Rico
HG01050	Puerto Rican in Puerto Rico
HG01051	Puerto Rican in Puerto Rico
HG01052	Puerto Rican in Puerto Rico
HG01053	Puerto Rican in Puerto Rico
HG01054	Puerto Rican in Puerto Rico
HG01055	Puerto Rican in Puerto Rico
HG01056	Puerto Rican in Puerto Rico
HG01058	Puerto Rican in Puerto Rico
HG01060	Puerto Rican in Puerto Rico
HG01061	Puerto Rican in Puerto Rico
HG01062	Puerto Rican in Puerto Rico
HG01063	Puerto Rican in Puerto Rico
HG01064	Puerto Rican in Puerto Rico
HG01066	Puerto Rican in Puerto Rico
HG01067	Puerto Rican in Puerto Rico
HG01068	Puerto Rican in Puerto Rico
HG01069	Puerto Rican in Puerto Rico
HG01070	Puerto Rican in Puerto Rico
HG01071	Puerto Rican in Puerto Rico
HG01072	Puerto Rican in Puerto Rico
HG01073	Puerto Rican in Puerto Rico
HG01074	Puerto Rican in Puerto Rico
HG01075	Puerto Rican in Puerto Rico
HG01077	Puerto Rican in Puerto Rico
HG01079	Puerto Rican in Puerto Rico
HG01080	Puerto Rican in Puerto Rico
HG01081	Puerto Rican in Puerto Rico
HG01082	Puerto Rican in Puerto Rico
HG01083	Puerto Rican in Puerto Rico
HG01084	Puerto Rican in Puerto Rico
HG01085	Puerto Rican in Puerto Rico
HG01086	Puerto Rican in Puerto Rico
HG01087	Puerto Rican in Puerto Rico
HG01088	Puerto Rican in Puerto Rico
HG01089	Puerto Rican in Puerto Rico
HG01090	Puerto Rican in Puerto Rico
HG01092	Puerto Rican in Puerto Rico
HG01094	Puerto Rican in Puerto Rico
HG01095	Puerto Rican in Puerto Rico
HG01096	Puerto Rican in Puerto Rico
HG01097	Puerto Rican in Puerto Rico
HG01098	Puerto Rican in Puerto Rico
HG01099	Puerto Rican in Puerto Rico
HG01100	Puerto Rican in Puerto Rico
HG01101	Puerto Rican in Puerto Rico
HG01102	Puerto Rican in Puerto Rico
HG01103	Puerto Rican in Puerto Rico
HG01104	Puerto Rican in Puerto Rico
HG01105	Puerto Rican in Puerto Rico
HG01106	Puerto Rican in Puerto Rico
HG01107	Puerto Rican in Puerto Rico
HG01108	Puerto Rican in Puerto Rico
HG01109	Puerto Rican in Puerto Rico
HG01110	Puerto Rican in Puerto Rico
HG01111	Puerto Rican in Puerto Rico
HG01112	"Colombian in Medellin, Colombia"
HG01113	"Colombian in Medellin, Colombia"
HG01114	"Colombian in Medellin, Colombia"
HG01119	"Colombian in Medellin, Colombia"
HG01121	"Colombian in Medellin, Colombia"
HG01122	"Colombian in Medellin, Colombia"
HG01123	"Colombian in Medellin, Colombia"
HG01124	"Colombian in Medellin, Colombia"
HG01125	"Colombian in Medellin, Colombia"
HG01126	"Colombian in Medellin, Colombia"
HG01130	"Colombian in Medellin, Colombia"
HG01131	"Colombian in Medellin, Colombia"
HG01133	"Colombian in Medellin, Colombia"
HG01134	"Colombian in Medellin, Colombia"
HG01135	"Colombian in Medellin, Colombia"
HG01136	"Colombian in Medellin, Colombia"
HG01137	"Colombian in Medellin, Colombia"
HG01138	"Colombian in Medellin, Colombia"
HG01139	"Colombian in Medellin, Colombia"
HG01140	"Colombian in Medellin, Colombia"
HG01141	"Colombian in Medellin, Colombia"
HG01142	"Colombian in Medellin, Colombia"
HG01148	"Colombian in Medellin, Colombia"
HG01149	"Colombian in Medellin, Colombia"
HG01150	"Colombian in Medellin, Colombia"
HG01161	Puerto Rican in Puerto Rico
HG01162	Puerto Rican in Puerto Rico
HG01164	Puerto Rican in Puerto Rico
HG01167	Puerto Rican in Puerto Rico
HG01168	Puerto Rican in Puerto Rico
HG01169	Puerto Rican in Puerto Rico
HG01170	Puerto Rican in Puerto Rico
HG01171	Puerto Rican in Puerto Rico
HG01172	Puerto Rican in Puerto Rico
HG01173	Puerto Rican in Puerto Rico
HG01174	Puerto Rican in Puerto Rico
HG01175	Puerto Rican in Puerto Rico
HG01176	Puerto Rican in Puerto Rico
