sample_id	population_description
HG03837	Sri Lankan Tamil in the UK
HG03838	Sri Lankan Tamil in the UK
HG03840	Sri Lankan Tamil in the UK
HG03842	Sri Lankan Tamil in the UK
HG03844	Sri Lankan Tamil in the UK
HG03845	Sri Lankan Tamil in the UK
HG03846	Sri Lankan Tamil in the UK
HG03847	Sri Lankan Tamil in the UK
HG03848	Sri Lankan Tamil in the UK
HG03849	Sri Lankan Tamil in the UK
HG03850	Sri Lankan Tamil in the UK
HG03851	Sri Lankan Tamil in the UK
HG03854	Sri Lankan Tamil in the UK
HG03856	Sri Lankan Tamil in the UK
HG03857	Sri Lankan Tamil in the UK
HG03858	Sri Lankan Tamil in the UK
HG03861	Indian Telugu in the UK
HG03862	Indian Telugu in the UK
HG03863	Indian Telugu in the UK
HG03864	Indian Telugu in the UK
HG03866	Indian Telugu in the UK
HG03867	Indian Telugu in the UK
HG03868	Indian Telugu in the UK
HG03869	Indian Telugu in the UK
HG03870	Indian Telugu in the UK
HG03871	Indian Telugu in the UK
HG03872	Indian Telugu in the UK
HG03873	Indian Telugu in the UK
HG03874	Indian Telugu in the UK
HG03875	Indian Telugu in the UK
HG03876	Indian Telugu in the UK
HG03879	Indian Telugu in the UK
HG03882	Indian Telugu in the UK
HG03884	Sri Lankan Tamil in the UK
HG03885	Sri Lankan Tamil in the UK
HG03886	Sri Lankan Tamil in the UK
HG03887	Sri Lankan Tamil in the UK
HG03888	Sri Lankan Tamil in the UK
HG03890	Sri Lankan Tamil in the UK
HG03894	Sri Lankan Tamil in the UK
HG03895	Sri Lankan Tamil in the UK
HG03896	Sri Lankan Tamil in the UK
HG03897	Sri Lankan Tamil in the UK
HG03898	Sri Lankan Tamil in the UK
HG03899	Sri Lankan Tamil in the UK
HG03900	Sri Lankan Tamil in the UK
HG03901	Bengali in Bangladesh
HG03902	Bengali in Bangladesh
HG03903	Bengali in Bangladesh
HG03904	Bengali in Bangladesh
HG03905	Bengali in Bangladesh
HG03906	Bengali in Bangladesh
HG03907	Bengali in Bangladesh
HG03908	Bengali in Bangladesh
HG03909	Bengali in Bangladesh
HG03910	Bengali in Bangladesh
HG03911	Bengali in Bangladesh
HG03913	Bengali in Bangladesh
HG03914	Bengali in Bangladesh
HG03915	Bengali in Bangladesh
HG03916	Bengali in Bangladesh
HG03917	Bengali in Bangladesh
HG03919	Bengali in Bangladesh
HG03920	Bengali in Bangladesh
HG03922	Bengali in Bangladesh
HG03924	Bengali in Bangladesh
HG03925	Bengali in Bangladesh
HG03926	Bengali in Bangladesh
HG03927	Bengali in Bangladesh
HG03928	Bengali in Bangladesh
HG03929	Bengali in Bangladesh
HG03930	Bengali in Bangladesh
HG03931	Bengali in Bangladesh
HG03934	Bengali in Bangladesh
HG03937	Bengali in Bangladesh
HG03939	Bengali in Bangladesh
HG03940	Bengali in Bangladesh
HG03941	Bengali in Bangladesh
HG03942	Bengali in Bangladesh
HG03943	Sri Lankan Tamil in the UK
HG03944	Sri Lankan Tamil in the UK
HG03945	Sri Lankan Tamil in the UK
HG03947	Sri Lankan Tamil in the UK
HG03948	Sri Lankan Tamil in the UK
HG03949	Sri Lankan Tamil in the UK
HG03950	Sri Lankan Tamil in the UK
HG03951	Sri Lankan Tamil in the UK
HG03953	Sri Lankan Tamil in the UK
HG03955	Sri Lankan Tamil in the UK
HG03960	Indian Telugu in the UK
HG03963	Indian Telugu in the UK
HG03965	Indian Telugu in the UK
HG03967	Indian Telugu in the UK
HG03968	Indian Telugu in the UK
HG03969	Indian Telugu in the UK
HG03971	Indian Telugu in the UK
HG03972	Indian Telugu in the UK
HG03973	Indian Telugu in the UK
HG03974	Indian Telugu in the UK
HG03976	Indian Telugu in the UK
HG03977	Indian Telugu in the UK
HG03978	Indian Telugu in the UK
HG03982	Sri Lankan Tamil in the UK
HG03985	Sri Lankan Tamil in the UK
HG03986	Sri Lankan Tamil in the UK
HG03988	Sri Lankan Tamil in the UK
HG03989	Sri Lankan Tamil in the UK
HG03990	Sri Lankan Tamil in the UK
HG03991	Sri Lankan Tamil in the UK
HG03992	Sri Lankan Tamil in the UK
HG03995	Sri Lankan Tamil in the UK
HG03998	Sri Lankan Tamil in the UK
HG03999	Sri Lankan Tamil in the UK
HG04001	Indian Telugu in the UK
HG04002	Indian Telugu in the UK
HG04003	Sri Lankan Tamil in the UK
HG04006	Sri Lankan Tamil in the UK
HG04014	Indian Telugu in the UK
HG04015	Indian Telugu in the UK
HG04017	Indian Telugu in the UK
HG04018	Indian Telugu in the UK
HG04019	Indian Telugu in the UK
HG04020	Indian Telugu in the UK
HG04022	Indian Telugu in the UK
HG04023	Indian Telugu in the UK
HG04024	Indian Telugu in the UK
HG04025	Indian Telugu in the UK
HG04026	Indian Telugu in the UK
HG04029	Sri Lankan Tamil in the UK
HG04033	Sri Lankan Tamil in the UK
HG04035	Sri Lankan Tamil in the UK
HG04036	Sri Lankan Tamil in the UK
HG04037	Sri Lankan Tamil in the UK
HG04038	Sri Lankan Tamil in the UK
HG04039	Sri Lankan Tamil in the UK
HG04040	Sri Lankan Tamil in the UK
HG04042	Sri Lankan Tamil in the UK
HG04047	Sri Lankan Tamil in the UK
HG04050	Indian Telugu in the UK
HG04053	Indian Telugu in the UK
HG04054	Indian Telugu in the UK
HG04055	Indian Telugu in the UK
HG04056	Indian Telugu in the UK
HG04058	Indian Telugu in the UK
HG04059	Indian Telugu in the UK
HG04060	Indian Telugu in the UK
HG04061	Indian Telugu in the UK
HG04062	Indian Telugu in the UK
HG04063	Indian Telugu in the UK
HG04067	Sri Lankan Tamil in the UK
HG04070	Indian Telugu in the UK
HG04075	Sri Lankan Tamil in the UK
HG04076	Indian Telugu in the UK
HG04080	Indian Telugu in the UK
HG04090	Indian Telugu in the UK
HG04093	Indian Telugu in the UK
HG04094	Indian Telugu in the UK
HG04096	Indian Telugu in the UK
HG04098	Indian Telugu in the UK
HG04099	Sri Lankan Tamil in the UK
HG04100	Sri Lankan Tamil in the UK
HG04106	Sri Lankan Tamil in the UK
HG04107	Sri Lankan Tamil in the UK
HG04114	Sri Lankan Tamil in the UK
HG04115	Sri Lankan Tamil in the UK
HG04118	Indian Telugu in the UK
HG04122	Sri Lankan Tamil in the UK
HG04127	Sri Lankan Tamil in the UK
HG04128	Bengali in Bangladesh
HG04131	Bengali in Bangladesh
HG04132	Bengali in Bangladesh
HG04133	Bengali in Bangladesh
HG04134	Bengali in Bangladesh
HG04135	Bengali in Bangladesh
HG04136	Bengali in Bangladesh
HG04140	Bengali in Bangladesh
HG04141	Bengali in Bangladesh
HG04142	Bengali in Bangladesh
HG04144	Bengali in Bangladesh
HG04146	Bengali in Bangladesh
HG04147	Bengali in Bangladesh
HG04148	Bengali in Bangladesh
HG04149	Bengali in Bangladesh
HG04150	Bengali in Bangladesh
HG04151	Bengali in Bangladesh
HG04152	Bengali in Bangladesh
HG04153	Bengali in Bangladesh
HG04155	Bengali in Bangladesh
HG04156	Bengali in Bangladesh
HG04157	Bengali in Bangladesh
HG04158	Bengali in Bangladesh
HG04159	Bengali in Bangladesh
HG04160	Bengali in Bangladesh
HG04161	Bengali in Bangladesh
HG04162	Bengali in Bangladesh
HG04164	Bengali in Bangladesh
HG04171	Bengali in Bangladesh
HG04173	Bengali in Bangladesh
HG04174	Bengali in Bangladesh
HG04175	Bengali in Bangladesh
HG04176	Bengali in Bangladesh
HG04177	Bengali in Bangladesh
HG04180	Bengali in Bangladesh
HG04181	Bengali in Bangladesh
HG04182	Bengali in Bangladesh
HG04183	Bengali in Bangladesh
HG04184	Bengali in Bangladesh
HG04185	Bengali in Bangladesh
HG04186	Bengali in Bangladesh
HG04187	Bengali in Bangladesh
HG04188	Bengali in Bangladesh
HG04189	Bengali in Bangladesh
HG04191	Bengali in Bangladesh
HG04192	Bengali in Bangladesh
HG04193	Bengali in Bangladesh
HG04194	Bengali in Bangladesh
HG04195	Bengali in Bangladesh
HG04197	Sri Lankan Tamil in the UK
HG04198	Indian Telugu in the UK
HG04199	Sri Lankan Tamil in the UK
HG04200	Indian Telugu in the UK
HG04202	Indian Telugu in the UK
HG04204	Sri Lankan Tamil in the UK
HG04206	Indian Telugu in the UK
HG04208	Sri Lankan Tamil in the UK
HG04209	Indian Telugu in the UK
HG04210	Sri Lankan Tamil in the UK
HG04211	Indian Telugu in the UK
HG04212	Indian Telugu in the UK
HG04214	Indian Telugu in the UK
HG04215	Sri Lankan Tamil in the UK
HG04216	Indian Telugu in the UK
HG04217	Indian Telugu in the UK
HG04219	Indian Telugu in the UK
HG04222	Indian Telugu in the UK
HG04225	Indian Telugu in the UK
HG04227	Sri Lankan Tamil in the UK
HG04228	Sri Lankan Tamil in the UK
HG04229	Sri Lankan Tamil in the UK
HG04235	Indian Telugu in the UK
HG04238	Indian Telugu in the UK
HG04239	Indian Telugu in the UK
HG04301	British in England and Scotland
HG04302	British in England and Scotland
HG04303	British in England and Scotland
NA06984	Utah residents with Northern and Western European ancestry
NA06985	Utah residents with Northern and Western European ancestry
NA06986	Utah residents with Northern and Western European ancestry
NA06989	Utah residents with Northern and Western European ancestry
NA06991	Utah residents with Northern and Western European ancestry
NA06993	Utah residents with Northern and Western European ancestry
NA06994	Utah residents with Northern and Western European ancestry
NA06995	Utah residents with Northern and Western European ancestry
NA06997	Utah residents with Northern and Western European ancestry
NA07000	Utah residents with Northern and Western European ancestry
NA07014	Utah residents with Northern and Western European ancestry
NA07019	Utah residents with Northern and Western European ancestry
NA07022	Utah residents with Northern and Western European ancestry
NA07029	Utah residents with Northern and Western European ancestry
NA07031	Utah residents with Northern and Western European ancestry
NA07034	Utah residents with Northern and Western European ancestry
NA07037	Utah residents with Northern and Western European ancestry
NA07045	Utah residents with Northern and Western European ancestry
NA07048	Utah residents with Northern and Western European ancestry
NA07051	Utah residents with Northern and Western European ancestry
NA07055	Utah residents with Northern and Western European ancestry
NA07056	Utah residents with Northern and Western European ancestry
NA07340	Utah residents with Northern and Western European ancestry
NA07345	Utah residents with Northern and Western European ancestry
NA07346	Utah residents with Northern and Western European ancestry
NA07347	Utah residents with Northern and Western European ancestry
NA07348	Utah residents with Northern and Western European ancestry
NA07349	Utah residents with Northern and Western European ancestry
NA07357	Utah residents with Northern and Western European ancestry
NA07435	Utah residents with Northern and Western European ancestry
NA10830	Utah residents with Northern and Western European ancestry
NA10831	Utah residents with Northern and Western European ancestry
NA10835	Utah residents with Northern and Western European ancestry
NA10836	Utah residents with Northern and Western European ancestry
NA10837	Utah residents with Northern and Western European ancestry
NA10838	Utah residents with Northern and Western European ancestry
NA10839	Utah residents with Northern and Western European ancestry
NA10840	Utah residents with Northern and Western European ancestry
NA10842	Utah residents with Northern and Western European ancestry
NA10843	Utah residents with Northern and Western European ancestry
NA10845	Utah residents with Northern and Western European ancestry
NA10846	Utah residents with Northern and Western European ancestry
NA10847	Utah residents with Northern and Western European ancestry
NA10850	Utah residents with Northern and Western European ancestry
NA10851	Utah residents with Northern and Western European ancestry
NA10852	Utah residents with Northern and Western European ancestry
NA10853	Utah residents with Northern and Western European ancestry
NA10854	Utah residents with Northern and Western European ancestry
NA10855	Utah residents with Northern and Western European ancestry
NA10856	Utah residents with Northern and Western European ancestry
NA10857	Utah residents with Northern and Western European ancestry
NA10859	Utah residents with Northern and Western European ancestry
NA10860	Utah residents with Northern and Western European ancestry
NA10861	Utah residents with Northern and Western European ancestry
NA10863	Utah residents with Northern and Western European ancestry
NA10864	Utah residents with Northern and Western European ancestry
NA10865	Utah residents with Northern and Western European ancestry
NA11829	Utah residents with Northern and Western European ancestry
NA11830	Utah residents with Northern and Western European ancestry
NA11831	Utah residents with Northern and Western European ancestry
NA11832	Utah residents with Northern and Western European ancestry
NA11839	Utah residents with Northern and Western European ancestry
NA11840	Utah residents with Northern and Western European ancestry
NA11843	Utah residents with Northern and Western European ancestry
NA11881	Utah residents with Northern and Western European ancestry
NA11882	Utah residents with Northern and Western European ancestry
NA11891	Utah residents with Northern and Western European ancestry
NA11892	Utah residents with Northern and Western European ancestry
NA11893	Utah residents with Northern and Western European ancestry
NA11894	Utah residents with Northern and Western European ancestry
NA11917	Utah residents with Northern and Western European ancestry
NA11918	Utah residents with Northern and Western European ancestry
NA11919	Utah residents with Northern and Western European ancestry
NA11920	Utah residents with Northern and Western European ancestry
NA11930	Utah residents with Northern and Western European ancestry
NA11931	Utah residents with Northern and Western European ancestry
NA11932	Utah residents with Northern and Western European ancestry
NA11933	Utah residents with Northern and Western European ancestry
NA11992	Utah residents with Northern and Western European ancestry
NA11993	Utah residents with Northern and Western European ancestry
NA11994	Utah residents with Northern and Western European ancestry
NA11995	Utah residents with Northern and Western European ancestry
NA12003	Utah residents with Northern and Western European ancestry
NA12004	Utah residents with Northern and Western European ancestry
NA12005	Utah residents with Northern and Western European ancestry
NA12006	Utah residents with Northern and Western European ancestry
NA12043	Utah residents with Northern and Western European ancestry
NA12044	Utah residents with Northern and Western European ancestry
NA12045	Utah residents with Northern and Western European ancestry
NA12046	Utah residents with Northern and Western European ancestry
NA12056	Utah residents with Northern and Western European ancestry
NA12057	Utah residents with Northern and Western European ancestry
NA12058	Utah residents with Northern and Western European ancestry
NA12144	Utah residents with Northern and Western European ancestry
NA12145	Utah residents with Northern and Western European ancestry
NA12146	Utah residents with Northern and Western European ancestry
NA12154	Utah residents with Northern and Western European ancestry
NA12155	Utah residents with Northern and Western European ancestry
NA12156	Utah residents with Northern and Western European ancestry
NA12234	Utah residents with Northern and Western European ancestry
NA12239	Utah residents with Northern and Western European ancestry
NA12248	Utah residents with Northern and Western European ancestry
NA12249	Utah residents with Northern and Western European ancestry
NA12264	Utah residents with Northern and Western European ancestry
NA12272	Utah residents with Northern and Western European ancestry
NA12273	Utah residents with Northern and Western European ancestry
NA12274	Utah residents with Northern and Western European ancestry
NA12275	Utah residents with Northern and Western European ancestry
NA12282	Utah residents with Northern and Western European ancestry
NA12283	Utah residents with Northern and Western European ancestry
NA12286	Utah residents with Northern and Western European ancestry
NA12287	Utah residents with Northern and Western European ancestry
NA12329	Utah residents with Northern and Western European ancestry
NA12335	Utah residents with Northern and Western European ancestry
NA12336	Utah residents with Northern and Western European ancestry
NA12340	Utah residents with Northern and Western European ancestry
NA12341	Utah residents with Northern and Western European ancestry
NA12342	Utah residents with Northern and Western European ancestry
NA12343	Utah residents with Northern and Western European ancestry
NA12344	Utah residents with Northern and Western European ancestry
NA12347	Utah residents with Northern and Western European ancestry
NA12348	Utah residents with Northern and Western European ancestry
NA12375	Utah residents with Northern and Western European ancestry
NA12376	Utah residents with Northern and Western European ancestry
NA12383	Utah residents with Northern and Western European ancestry
NA12386	Utah residents with Northern and Western European ancestry
NA12399	Utah residents with Northern and Western European ancestry
NA12400	Utah residents with Northern and Western European ancestry
NA12413	Utah residents with Northern and Western European ancestry
NA12414	Utah residents with Northern and Western European ancestry
NA12485	Utah residents with Northern and Western European ancestry
NA12489	Utah residents with Northern and Western European ancestry
NA12546	Utah residents with Northern and Western European ancestry
NA12707	Utah residents with Northern and Western European ancestry
NA12708	Utah residents with Northern and Western European ancestry
NA12716	Utah residents with Northern and Western European ancestry
NA12717	Utah residents with Northern and Western European ancestry
NA12718	Utah residents with Northern and Western European ancestry
NA12739	Utah residents with Northern and Western European ancestry
NA12740	Utah residents with Northern and Western European ancestry
NA12748	Utah residents with Northern and Western European ancestry
NA12749	Utah residents with Northern and Western European ancestry
NA12750	Utah residents with Northern and Western European ancestry
NA12751	Utah residents with Northern and Western European ancestry
NA12752	Utah residents with Northern and Western European ancestry
NA12753	Utah residents with Northern and Western European ancestry
NA12760	Utah residents with Northern and Western European ancestry
NA12761	Utah residents with Northern and Western European ancestry
NA12762	Utah residents with Northern and Western European ancestry
NA12763	Utah residents with Northern and Western European ancestry
NA12766	Utah residents with Northern and Western European ancestry
NA12767	Utah residents with Northern and Western European ancestry
NA12775	Utah residents with Northern and Western European ancestry
NA12776	Utah residents with Northern and Western European ancestry
NA12777	Utah residents with Northern and Western European ancestry
NA12778	Utah residents with Northern and Western European ancestry
NA12801	Utah residents with Northern and Western European ancestry
NA12802	Utah residents with Northern and Western European ancestry
NA12812	Utah residents with Northern and Western European ancestry
NA12813	Utah residents with Northern and Western European ancestry
NA12814	Utah residents with Northern and Western European ancestry
NA12815	Utah residents with Northern and Western European ancestry
NA12817	Utah residents with Northern and Western European ancestry
NA12818	Utah residents with Northern and Western European ancestry
NA12827	Utah residents with Northern and Western European ancestry
NA12828	Utah residents with Northern and Western European ancestry
NA12829	Utah residents with Northern and Western European ancestry
NA12830	Utah residents with Northern and Western European ancestry
NA12832	Utah residents with Northern and Western European ancestry
NA12842	Utah residents with Northern and Western European ancestry
NA12843	Utah residents with Northern and Western European ancestry
NA12864	Utah residents with Northern and Western European ancestry
NA12865	Utah residents with Northern and Western European ancestry
NA12872	Utah residents with Northern and Western European ancestry
NA12873	Utah residents with Northern and Western European ancestry
NA12874	Utah residents with Northern and Western European ancestry
NA12875	Utah residents with Northern and Western European ancestry
NA12877	Utah residents with Northern and Western European ancestry
NA12878	Utah residents with Northern and Western European ancestry
NA12889	Utah residents with Northern and Western European ancestry
NA12890	Utah residents with Northern and Western European ancestry
NA12891	Utah residents with Northern and Western European ancestry
NA12892	Utah residents with Northern and Western European ancestry
NA18484	"Yoruba in Ibadan, Nigeria"
NA18485	"Yoruba in Ibadan, Nigeria"
NA18486	"Yoruba in Ibadan, Nigeria"
NA18487	"Yoruba in Ibadan, Nigeria"
NA18488	"Yoruba in Ibadan, Nigeria"
NA18489	"Yoruba in Ibadan, Nigeria"
NA18497	"Yoruba in Ibadan, Nigeria"
NA18498	"Yoruba in Ibadan, Nigeria"
NA18499	"Yoruba in Ibadan, Nigeria"
NA18500	"Yoruba in Ibadan, Nigeria"
NA18501	"Yoruba in Ibadan, Nigeria"
NA18502	"Yoruba in Ibadan, Nigeria"
NA18503	"Yoruba in Ibadan, Nigeria"
NA18504	"Yoruba in Ibadan, Nigeria"
NA18505	"Yoruba in Ibadan, Nigeria"
NA18506	"Yoruba in Ibadan, Nigeria"
NA18507	"Yoruba in Ibadan, Nigeria"
NA18508	"Yoruba in Ibadan, Nigeria"
NA18509	"Yoruba in Ibadan, Nigeria"
NA18510	"Yoruba in Ibadan, Nigeria"
NA18511	"Yoruba in Ibadan, Nigeria"
NA18515	"Yoruba in Ibadan, Nigeria"
NA18516	"Yoruba in Ibadan, Nigeria"
NA18517	"Yoruba in Ibadan, Nigeria"
NA18518	"Yoruba in Ibadan, Nigeria"
NA18519	"Yoruba in Ibadan, Nigeria"
NA18520	"Yoruba in Ibadan, Nigeria"
NA18521	"Yoruba in Ibadan, Nigeria"
NA18522	"Yoruba in Ibadan, Nigeria"
NA18523	"Yoruba in Ibadan, Nigeria"
NA18525	"Han Chinese in Bejing, China"
NA18526	"Han Chinese in Bejing, China"
NA18527	"Han Chinese in Bejing, China"
NA18528	"Han Chinese in Bejing, China"
NA18530	"Han Chinese in Bejing, China"
NA18531	"Han Chinese in Bejing, China"
NA18532	"Han Chinese in Bejing, China"
NA18533	"Han Chinese in Bejing, China"
NA18534	"Han Chinese in Bejing, China"
NA18535	"Han Chinese in Bejing, China"
NA18536	"Han Chinese in Bejing, China"
NA18537	"Han Chinese in Bejing, China"
NA18538	"Han Chinese in Bejing, China"
NA18539	"Han Chinese in Bejing, China"
NA18541	"Han Chinese in Bejing, China"
NA18542	"Han Chinese in Bejing, China"
NA18543	"Han Chinese in Bejing, China"
NA18544	"Han Chinese in Bejing, China"
NA18545	"Han Chinese in Bejing, China"
NA18546	"Han Chinese in Bejing, China"
NA18547	"Han Chinese in Bejing, China"
NA18548	"Han Chinese in Bejing, China"
NA18549	"Han Chinese in Bejing, China"
NA18550	"Han Chinese in Bejing, China"
NA18552	"Han Chinese in Bejing, China"
NA18553	"Han Chinese in Bejing, China"
NA18555	"Han Chinese in Bejing, China"
NA18557	"Han Chinese in Bejing, China"
NA18558	"Han Chinese in Bejing, China"
NA18559	"Han Chinese in Bejing, China"
NA18560	"Han Chinese in Bejing, China"
NA18561	"Han Chinese in Bejing, China"
NA18562	"Han Chinese in Bejing, China"
NA18563	"Han Chinese in Bejing, China"
NA18564	"Han Chinese in Bejing, China"
NA18565	"Han Chinese in Bejing, China"
NA18566	"Han Chinese in Bejing, China"
NA18567	"Han Chinese in Bejing, China"
NA18570	"Han Chinese in Bejing, China"
NA18571	"Han Chinese in Bejing, China"
NA18572	"Han Chinese in Bejing, China"
NA18573	"Han Chinese in Bejing, China"
NA18574	"Han Chinese in Bejing, China"
NA18576	"Han Chinese in Bejing, China"
NA18577	"Han Chinese in Bejing, China"
NA18579	"Han Chinese in Bejing, China"
NA18582	"Han Chinese in Bejing, China"
NA18591	"Han Chinese in Bejing, China"
NA18592	"Han Chinese in Bejing, China"
NA18593	"Han Chinese in Bejing, China"
NA18595	"Han Chinese in Bejing, China"
NA18596	"Han Chinese in Bejing, China"
NA18597	"Han Chinese in Bejing, China"
NA18599	"Han Chinese in Bejing, China"
NA18602	"Han Chinese in Bejing, China"
NA18603	"Han Chinese in Bejing, China"
NA18605	"Han Chinese in Bejing, China"
NA18606	"Han Chinese in Bejing, China"
NA18608	"Han Chinese in Bejing, China"
NA18609	"Han Chinese in Bejing, China"
NA18610	"Han Chinese in Bejing, China"
NA18611	"Han Chinese in Bejing, China"
NA18612	"Han Chinese in Bejing, China"
NA18613	"Han Chinese in Bejing, China"
NA18614	"Han Chinese in Bejing, China"
NA18615	"Han Chinese in Bejing, China"
NA18616	"Han Chinese in Bejing, China"
NA18617	"Han Chinese in Bejing, China"
NA18618	"Han Chinese in Bejing, China"
NA18619	"Han Chinese in Bejing, China"
NA18620	"Han Chinese in Bejing, China"
NA18621	"Han Chinese in Bejing, China"
NA18622	"Han Chinese in Bejing, China"
NA18623	"Han Chinese in Bejing, China"
NA18624	"Han Chinese in Bejing, China"
NA18625	"Han Chinese in Bejing, China"
NA18626	"Han Chinese in Bejing, China"
NA18627	"Han Chinese in Bejing, China"
NA18628	"Han Chinese in Bejing, China"
NA18629	"Han Chinese in Bejing, China"
NA18630	"Han Chinese in Bejing, China"
NA18631	"Han Chinese in Bejing, China"
NA18632	"Han Chinese in Bejing, China"
NA18633	"Han Chinese in Bejing, China"
NA18634	"Han Chinese in Bejing, China"
NA18635	"Han Chinese in Bejing, China"
NA18636	"Han Chinese in Bejing, China"
NA18637	"Han Chinese in Bejing, China"
NA18638	"Han Chinese in Bejing, China"
NA18639	"Han Chinese in Bejing, China"
NA18640	"Han Chinese in Bejing, China"
NA18641	"Han Chinese in Bejing, China"
NA18642	"Han Chinese in Bejing, China"
NA18643	"Han Chinese in Bejing, China"
NA18644	"Han Chinese in Bejing, China"
NA18645	"Han Chinese in Bejing, China"
NA18646	"Han Chinese in Bejing, China"
NA18647	"Han Chinese in Bejing, China"
NA18648	"Han Chinese in Bejing, China"
NA18740	"Han Chinese in Bejing, China"
NA18745	"Han Chinese in Bejing, China"
NA18747	"Han Chinese in Bejing, China"
NA18748	"Han Chinese in Bejing, China"
NA18749	"Han Chinese in Bejing, China"
NA18757	"Han Chinese in Bejing, China"
NA18791	"Han Chinese in Bejing, China"
NA18794	"Han Chinese in Bejing, China"
NA18795	"Han Chinese in Bejing, China"
NA18852	"Yoruba in Ibadan, Nigeria"
NA18853	"Yoruba in Ibadan, Nigeria"
NA18854	"Yoruba in Ibadan, Nigeria"
NA18855	"Yoruba in Ibadan, Nigeria"
NA18856	"Yoruba in Ibadan, Nigeria"
NA18857	"Yoruba in Ibadan, Nigeria"
NA18858	"Yoruba in Ibadan, Nigeria"
NA18859	"Yoruba in Ibadan, Nigeria"
NA18860	"Yoruba in Ibadan, Nigeria"
NA18861	"Yoruba in Ibadan, Nigeria"
NA18862	"Yoruba in Ibadan, Nigeria"
NA18863	"Yoruba in Ibadan, Nigeria"
NA18864	"Yoruba in Ibadan, Nigeria"
NA18865	"Yoruba in Ibadan, Nigeria"
NA18867	"Yoruba in Ibadan, Nigeria"
NA18868	"Yoruba in Ibadan, Nigeria"
NA18869	"Yoruba in Ibadan, Nigeria"
NA18870	"Yoruba in Ibadan, Nigeria"
NA18871	"Yoruba in Ibadan, Nigeria"
NA18872	"Yoruba in Ibadan, Nigeria"
NA18873	"Yoruba in Ibadan, Nigeria"
NA18874	"Yoruba in Ibadan, Nigeria"
NA18875	"Yoruba in Ibadan, Nigeria"
NA18876	"Yoruba in Ibadan, Nigeria"
NA18877	"Yoruba in Ibadan, Nigeria"
NA18878	"Yoruba in Ibadan, Nigeria"
NA18879	"Yoruba in Ibadan, Nigeria"
NA18881	"Yoruba in Ibadan, Nigeria"
NA18906	"Yoruba in Ibadan, Nigeria"
NA18907	"Yoruba in Ibadan, Nigeria"
NA18908	"Yoruba in Ibadan, Nigeria"
NA18909	"Yoruba in Ibadan, Nigeria"
NA18910	"Yoruba in Ibadan, Nigeria"
NA18911	"Yoruba in Ibadan, Nigeria"
NA18912	"Yoruba in Ibadan, Nigeria"
NA18913	"Yoruba in Ibadan, Nigeria"
NA18914	"Yoruba in Ibadan, Nigeria"
NA18915	"Yoruba in Ibadan, Nigeria"
NA18916	"Yoruba in Ibadan, Nigeria"
NA18917	"Yoruba in Ibadan, Nigeria"
NA18923	"Yoruba in Ibadan, Nigeria"
NA18924	"Yoruba in Ibadan, Nigeria"
NA18925	"Yoruba in Ibadan, Nigeria"
NA18930	"Yoruba in Ibadan, Nigeria"
NA18933	"Yoruba in Ibadan, Nigeria"
NA18934	"Yoruba in Ibadan, Nigeria"
NA18935	"Yoruba in Ibadan, Nigeria"
NA18939	"Japanese in Tokyo, Japan"
NA18940	"Japanese in Tokyo, Japan"
NA18941	"Japanese in Tokyo, Japan"
NA18942	"Japanese in Tokyo, Japan"
NA18943	"Japanese in Tokyo, Japan"
NA18944	"Japanese in Tokyo, Japan"
NA18945	"Japanese in Tokyo, Japan"
NA18946	"Japanese in Tokyo, Japan"
NA18947	"Japanese in Tokyo, Japan"
NA18948	"Japanese in Tokyo, Japan"
NA18949	"Japanese in Tokyo, Japan"
NA18950	"Japanese in Tokyo, Japan"
NA18951	"Japanese in Tokyo, Japan"
NA18952	"Japanese in Tokyo, Japan"
NA18953	"Japanese in Tokyo, Japan"
NA18954	"Japanese in Tokyo, Japan"
NA18955	"Japanese in Tokyo, Japan"
NA18956	"Japanese in Tokyo, Japan"
NA18957	"Japanese in Tokyo, Japan"
NA18959	"Japanese in Tokyo, Japan"
NA18960	"Japanese in Tokyo, Japan"
NA18961	"Japanese in Tokyo, Japan"
NA18962	"Japanese in Tokyo, Japan"
NA18963	"Japanese in Tokyo, Japan"
NA18964	"Japanese in Tokyo, Japan"
NA18965	"Japanese in Tokyo, Japan"
NA18966	"Japanese in Tokyo, Japan"
NA18967	"Japanese in Tokyo, Japan"
NA18968	"Japanese in Tokyo, Japan"
NA18969	"Japanese in Tokyo, Japan"
NA18970	"Japanese in Tokyo, Japan"
NA18971	"Japanese in Tokyo, Japan"
NA18972	"Japanese in Tokyo, Japan"
NA18973	"Japanese in Tokyo, Japan"
NA18974	"Japanese in Tokyo, Japan"
NA18975	"Japanese in Tokyo, Japan"
NA18976	"Japanese in Tokyo, Japan"
NA18977	"Japanese in Tokyo, Japan"
NA18978	"Japanese in Tokyo, Japan"
NA18979	"Japanese in Tokyo, Japan"
NA18980	"Japanese in Tokyo, Japan"
NA18981	"Japanese in Tokyo, Japan"
NA18982	"Japanese in Tokyo, Japan"
NA18983	"Japanese in Tokyo, Japan"
NA18984	"Japanese in Tokyo, Japan"
NA18985	"Japanese in Tokyo, Japan"
NA18986	"Japanese in Tokyo, Japan"
NA18987	"Japanese in Tokyo, Japan"
NA18988	"Japanese in Tokyo, Japan"
NA18989	"Japanese in Tokyo, Japan"
